test_size,num_epochs,batch_size,learning_rate,gamma,best_val_loss,best_epoch
0.1,30,32,0.01,0.9,0.4372217097580433,21
0.1,30,32,0.01,0.95,0.43810876381397246,26
0.1,30,32,0.01,0.99,0.43919764798879624,28
0.1,30,32,0.001,0.9,0.4378459922373295,19
0.1,30,32,0.001,0.95,0.4394586163163185,10
0.1,30,32,0.001,0.99,0.4388386715054512,22
0.1,30,32,0.0001,0.9,0.44415214997529984,30
0.1,30,32,0.0001,0.95,0.4383512403666973,30
0.1,30,32,0.0001,0.99,0.43799233227968215,24
0.1,30,64,0.01,0.9,0.43728102588653567,18
0.1,30,64,0.01,0.95,0.43645293307304384,22
0.1,30,64,0.01,0.99,0.43726205098628995,30
0.1,30,64,0.001,0.9,0.43835317516326905,19
0.1,30,64,0.001,0.95,0.4374025526046753,12
0.1,30,64,0.001,0.99,0.438044149518013,13
0.1,30,64,0.0001,0.9,0.4555399035215378,30
0.1,30,64,0.0001,0.95,0.44730033934116364,30
0.1,30,64,0.0001,0.99,0.43929929649829863,28
0.1,30,128,0.01,0.9,0.43707053756713865,14
0.1,30,128,0.01,0.95,0.4370276720523834,23
0.1,30,128,0.01,0.99,0.43640442681312563,25
0.1,30,128,0.001,0.9,0.43733995723724367,10
0.1,30,128,0.001,0.95,0.4378725628852844,15
0.1,30,128,0.001,0.99,0.43777157330513,17
0.1,30,128,0.0001,0.9,0.4591595613956451,30
0.1,30,128,0.0001,0.95,0.452332505941391,28
0.1,30,128,0.0001,0.99,0.44295510244369507,28
